id,bool_col,tinyint_col,smallint_col,int_col,bigint_col,float_col,double_col,date_string_col,string_col,timestamp_col,year,month
6773,0,3,3,3,30,3.29999995232,30.3,11/09/10,3,2010-11-09 01:23:03.630,2010,11
6774,1,4,4,4,40,4.40000009537,40.4,11/09/10,4,2010-11-09 01:24:03.660,2010,11
6775,0,5,5,5,50,5.5,50.5,11/09/10,5,2010-11-09 01:25:03.700,2010,11
6776,1,6,6,6,60,6.59999990463,60.6,11/09/10,6,2010-11-09 01:26:03.750,2010,11
6777,0,7,7,7,70,7.69999980927,70.7,11/09/10,7,2010-11-09 01:27:03.810,2010,11
6778,1,8,8,8,80,8.80000019073,80.8,11/09/10,8,2010-11-09 01:28:03.880,2010,11
6779,0,9,9,9,90,9.89999961853,90.9,11/09/10,9,2010-11-09 01:29:03.960,2010,11
6780,1,0,0,0,0,0.0,0.0,11/10/10,0,2010-11-10 01:30:04.500,2010,11
6781,0,1,1,1,10,1.10000002384,10.1,11/10/10,1,2010-11-10 01:31:04.500,2010,11
6782,1,2,2,2,20,2.20000004768,20.2,11/10/10,2,2010-11-10 01:32:04.600,2010,11
6783,0,3,3,3,30,3.29999995232,30.3,11/10/10,3,2010-11-10 01:33:04.800,2010,11
6784,1,4,4,4,40,4.40000009537,40.4,11/10/10,4,2010-11-10 01:34:04.110,2010,11
6785,0,5,5,5,50,5.5,50.5,11/10/10,5,2010-11-10 01:35:04.150,2010,11
6786,1,6,6,6,60,6.59999990463,60.6,11/10/10,6,2010-11-10 01:36:04.200,2010,11
6787,0,7,7,7,70,7.69999980927,70.7,11/10/10,7,2010-11-10 01:37:04.260,2010,11
6788,1,8,8,8,80,8.80000019073,80.8,11/10/10,8,2010-11-10 01:38:04.330,2010,11
6789,0,9,9,9,90,9.89999961853,90.9,11/10/10,9,2010-11-10 01:39:04.410,2010,11
6790,1,0,0,0,0,0.0,0.0,11/11/10,0,2010-11-11 01:40:04.500,2010,11
6791,0,1,1,1,10,1.10000002384,10.1,11/11/10,1,2010-11-11 01:41:04.500,2010,11
6792,1,2,2,2,20,2.20000004768,20.2,11/11/10,2,2010-11-11 01:42:04.510,2010,11
6793,0,3,3,3,30,3.29999995232,30.3,11/11/10,3,2010-11-11 01:43:04.530,2010,11
6794,1,4,4,4,40,4.40000009537,40.4,11/11/10,4,2010-11-11 01:44:04.560,2010,11
6795,0,5,5,5,50,5.5,50.5,11/11/10,5,2010-11-11 01:45:04.600,2010,11
6796,1,6,6,6,60,6.59999990463,60.6,11/11/10,6,2010-11-11 01:46:04.650,2010,11
6797,0,7,7,7,70,7.69999980927,70.7,11/11/10,7,2010-11-11 01:47:04.710,2010,11
6798,1,8,8,8,80,8.80000019073,80.8,11/11/10,8,2010-11-11 01:48:04.780,2010,11
6799,0,9,9,9,90,9.89999961853,90.9,11/11/10,9,2010-11-11 01:49:04.860,2010,11
6800,1,0,0,0,0,0.0,0.0,11/12/10,0,2010-11-12 01:50:04.950,2010,11
6801,0,1,1,1,10,1.10000002384,10.1,11/12/10,1,2010-11-12 01:51:04.950,2010,11
6802,1,2,2,2,20,2.20000004768,20.2,11/12/10,2,2010-11-12 01:52:04.960,2010,11
6803,0,3,3,3,30,3.29999995232,30.3,11/12/10,3,2010-11-12 01:53:04.980,2010,11
6804,1,4,4,4,40,4.40000009537,40.4,11/12/10,4,2010-11-12 01:54:05.100,2010,11
6805,0,5,5,5,50,5.5,50.5,11/12/10,5,2010-11-12 01:55:05.500,2010,11
6806,1,6,6,6,60,6.59999990463,60.6,11/12/10,6,2010-11-12 01:56:05.100,2010,11
6807,0,7,7,7,70,7.69999980927,70.7,11/12/10,7,2010-11-12 01:57:05.160,2010,11
6808,1,8,8,8,80,8.80000019073,80.8,11/12/10,8,2010-11-12 01:58:05.230,2010,11
6809,0,9,9,9,90,9.89999961853,90.9,11/12/10,9,2010-11-12 01:59:05.310,2010,11
6810,1,0,0,0,0,0.0,0.0,11/13/10,0,2010-11-13 02:00:05.400,2010,11
6811,0,1,1,1,10,1.10000002384,10.1,11/13/10,1,2010-11-13 02:01:05.400,2010,11
6812,1,2,2,2,20,2.20000004768,20.2,11/13/10,2,2010-11-13 02:02:05.410,2010,11
6813,0,3,3,3,30,3.29999995232,30.3,11/13/10,3,2010-11-13 02:03:05.430,2010,11
6814,1,4,4,4,40,4.40000009537,40.4,11/13/10,4,2010-11-13 02:04:05.460,2010,11
6815,0,5,5,5,50,5.5,50.5,11/13/10,5,2010-11-13 02:05:05.500,2010,11
6816,1,6,6,6,60,6.59999990463,60.6,11/13/10,6,2010-11-13 02:06:05.550,2010,11
6817,0,7,7,7,70,7.69999980927,70.7,11/13/10,7,2010-11-13 02:07:05.610,2010,11
6818,1,8,8,8,80,8.80000019073,80.8,11/13/10,8,2010-11-13 02:08:05.680,2010,11
6819,0,9,9,9,90,9.89999961853,90.9,11/13/10,9,2010-11-13 02:09:05.760,2010,11
6820,1,0,0,0,0,0.0,0.0,11/14/10,0,2010-11-14 02:10:05.850,2010,11
6821,0,1,1,1,10,1.10000002384,10.1,11/14/10,1,2010-11-14 02:11:05.850,2010,11
6822,1,2,2,2,20,2.20000004768,20.2,11/14/10,2,2010-11-14 02:12:05.860,2010,11
6823,0,3,3,3,30,3.29999995232,30.3,11/14/10,3,2010-11-14 02:13:05.880,2010,11
6824,1,4,4,4,40,4.40000009537,40.4,11/14/10,4,2010-11-14 02:14:05.910,2010,11
6825,0,5,5,5,50,5.5,50.5,11/14/10,5,2010-11-14 02:15:05.950,2010,11
6826,1,6,6,6,60,6.59999990463,60.6,11/14/10,6,2010-11-14 02:16:06.000,2010,11
6827,0,7,7,7,70,7.69999980927,70.7,11/14/10,7,2010-11-14 02:17:06.600,2010,11
6828,1,8,8,8,80,8.80000019073,80.8,11/14/10,8,2010-11-14 02:18:06.130,2010,11
6829,0,9,9,9,90,9.89999961853,90.9,11/14/10,9,2010-11-14 02:19:06.210,2010,11
6830,1,0,0,0,0,0.0,0.0,11/15/10,0,2010-11-15 02:20:06.300,2010,11
6831,0,1,1,1,10,1.10000002384,10.1,11/15/10,1,2010-11-15 02:21:06.300,2010,11
6832,1,2,2,2,20,2.20000004768,20.2,11/15/10,2,2010-11-15 02:22:06.310,2010,11
6833,0,3,3,3,30,3.29999995232,30.3,11/15/10,3,2010-11-15 02:23:06.330,2010,11
6834,1,4,4,4,40,4.40000009537,40.4,11/15/10,4,2010-11-15 02:24:06.360,2010,11
6835,0,5,5,5,50,5.5,50.5,11/15/10,5,2010-11-15 02:25:06.400,2010,11
6836,1,6,6,6,60,6.59999990463,60.6,11/15/10,6,2010-11-15 02:26:06.450,2010,11
6837,0,7,7,7,70,7.69999980927,70.7,11/15/10,7,2010-11-15 02:27:06.510,2010,11
6838,1,8,8,8,80,8.80000019073,80.8,11/15/10,8,2010-11-15 02:28:06.580,2010,11
6839,0,9,9,9,90,9.89999961853,90.9,11/15/10,9,2010-11-15 02:29:06.660,2010,11
6840,1,0,0,0,0,0.0,0.0,11/16/10,0,2010-11-16 02:30:06.750,2010,11
6841,0,1,1,1,10,1.10000002384,10.1,11/16/10,1,2010-11-16 02:31:06.750,2010,11
6842,1,2,2,2,20,2.20000004768,20.2,11/16/10,2,2010-11-16 02:32:06.760,2010,11
6843,0,3,3,3,30,3.29999995232,30.3,11/16/10,3,2010-11-16 02:33:06.780,2010,11
6844,1,4,4,4,40,4.40000009537,40.4,11/16/10,4,2010-11-16 02:34:06.810,2010,11
6845,0,5,5,5,50,5.5,50.5,11/16/10,5,2010-11-16 02:35:06.850,2010,11
6846,1,6,6,6,60,6.59999990463,60.6,11/16/10,6,2010-11-16 02:36:06.900,2010,11
6847,0,7,7,7,70,7.69999980927,70.7,11/16/10,7,2010-11-16 02:37:06.960,2010,11
6848,1,8,8,8,80,8.80000019073,80.8,11/16/10,8,2010-11-16 02:38:07.300,2010,11
6849,0,9,9,9,90,9.89999961853,90.9,11/16/10,9,2010-11-16 02:39:07.110,2010,11
6850,1,0,0,0,0,0.0,0.0,11/17/10,0,2010-11-17 02:40:07.200,2010,11
6851,0,1,1,1,10,1.10000002384,10.1,11/17/10,1,2010-11-17 02:41:07.200,2010,11
6852,1,2,2,2,20,2.20000004768,20.2,11/17/10,2,2010-11-17 02:42:07.210,2010,11
6853,0,3,3,3,30,3.29999995232,30.3,11/17/10,3,2010-11-17 02:43:07.230,2010,11
6854,1,4,4,4,40,4.40000009537,40.4,11/17/10,4,2010-11-17 02:44:07.260,2010,11
6855,0,5,5,5,50,5.5,50.5,11/17/10,5,2010-11-17 02:45:07.300,2010,11
6856,1,6,6,6,60,6.59999990463,60.6,11/17/10,6,2010-11-17 02:46:07.350,2010,11
6857,0,7,7,7,70,7.69999980927,70.7,11/17/10,7,2010-11-17 02:47:07.410,2010,11
6858,1,8,8,8,80,8.80000019073,80.8,11/17/10,8,2010-11-17 02:48:07.480,2010,11
6859,0,9,9,9,90,9.89999961853,90.9,11/17/10,9,2010-11-17 02:49:07.560,2010,11
6860,1,0,0,0,0,0.0,0.0,11/18/10,0,2010-11-18 02:50:07.650,2010,11
6861,0,1,1,1,10,1.10000002384,10.1,11/18/10,1,2010-11-18 02:51:07.650,2010,11
6862,1,2,2,2,20,2.20000004768,20.2,11/18/10,2,2010-11-18 02:52:07.660,2010,11
6863,0,3,3,3,30,3.29999995232,30.3,11/18/10,3,2010-11-18 02:53:07.680,2010,11
6864,1,4,4,4,40,4.40000009537,40.4,11/18/10,4,2010-11-18 02:54:07.710,2010,11
6865,0,5,5,5,50,5.5,50.5,11/18/10,5,2010-11-18 02:55:07.750,2010,11
6866,1,6,6,6,60,6.59999990463,60.6,11/18/10,6,2010-11-18 02:56:07.800,2010,11
6867,0,7,7,7,70,7.69999980927,70.7,11/18/10,7,2010-11-18 02:57:07.860,2010,11
6868,1,8,8,8,80,8.80000019073,80.8,11/18/10,8,2010-11-18 02:58:07.930,2010,11
6869,0,9,9,9,90,9.89999961853,90.9,11/18/10,9,2010-11-18 02:59:08.100,2010,11
6870,1,0,0,0,0,0.0,0.0,11/19/10,0,2010-11-19 03:00:08.100,2010,11
6871,0,1,1,1,10,1.10000002384,10.1,11/19/10,1,2010-11-19 03:01:08.100,2010,11
6872,1,2,2,2,20,2.20000004768,20.2,11/19/10,2,2010-11-19 03:02:08.110,2010,11
6873,0,3,3,3,30,3.29999995232,30.3,11/19/10,3,2010-11-19 03:03:08.130,2010,11
6874,1,4,4,4,40,4.40000009537,40.4,11/19/10,4,2010-11-19 03:04:08.160,2010,11
6875,0,5,5,5,50,5.5,50.5,11/19/10,5,2010-11-19 03:05:08.200,2010,11
6876,1,6,6,6,60,6.59999990463,60.6,11/19/10,6,2010-11-19 03:06:08.250,2010,11
6877,0,7,7,7,70,7.69999980927,70.7,11/19/10,7,2010-11-19 03:07:08.310,2010,11
6878,1,8,8,8,80,8.80000019073,80.8,11/19/10,8,2010-11-19 03:08:08.380,2010,11
6879,0,9,9,9,90,9.89999961853,90.9,11/19/10,9,2010-11-19 03:09:08.460,2010,11
6880,1,0,0,0,0,0.0,0.0,11/20/10,0,2010-11-20 03:10:08.550,2010,11
6881,0,1,1,1,10,1.10000002384,10.1,11/20/10,1,2010-11-20 03:11:08.550,2010,11
6882,1,2,2,2,20,2.20000004768,20.2,11/20/10,2,2010-11-20 03:12:08.560,2010,11
6883,0,3,3,3,30,3.29999995232,30.3,11/20/10,3,2010-11-20 03:13:08.580,2010,11
6884,1,4,4,4,40,4.40000009537,40.4,11/20/10,4,2010-11-20 03:14:08.610,2010,11
6885,0,5,5,5,50,5.5,50.5,11/20/10,5,2010-11-20 03:15:08.650,2010,11
6886,1,6,6,6,60,6.59999990463,60.6,11/20/10,6,2010-11-20 03:16:08.700,2010,11
6887,0,7,7,7,70,7.69999980927,70.7,11/20/10,7,2010-11-20 03:17:08.760,2010,11
6888,1,8,8,8,80,8.80000019073,80.8,11/20/10,8,2010-11-20 03:18:08.830,2010,11
6889,0,9,9,9,90,9.89999961853,90.9,11/20/10,9,2010-11-20 03:19:08.910,2010,11
6890,1,0,0,0,0,0.0,0.0,11/21/10,0,2010-11-21 03:20:09.000,2010,11
6891,0,1,1,1,10,1.10000002384,10.1,11/21/10,1,2010-11-21 03:21:09.000,2010,11
6892,1,2,2,2,20,2.20000004768,20.2,11/21/10,2,2010-11-21 03:22:09.100,2010,11
6893,0,3,3,3,30,3.29999995232,30.3,11/21/10,3,2010-11-21 03:23:09.300,2010,11
6894,1,4,4,4,40,4.40000009537,40.4,11/21/10,4,2010-11-21 03:24:09.600,2010,11
6895,0,5,5,5,50,5.5,50.5,11/21/10,5,2010-11-21 03:25:09.100,2010,11
6896,1,6,6,6,60,6.59999990463,60.6,11/21/10,6,2010-11-21 03:26:09.150,2010,11
6897,0,7,7,7,70,7.69999980927,70.7,11/21/10,7,2010-11-21 03:27:09.210,2010,11
6898,1,8,8,8,80,8.80000019073,80.8,11/21/10,8,2010-11-21 03:28:09.280,2010,11
6899,0,9,9,9,90,9.89999961853,90.9,11/21/10,9,2010-11-21 03:29:09.360,2010,11
6900,1,0,0,0,0,0.0,0.0,11/22/10,0,2010-11-22 03:30:09.450,2010,11
6901,0,1,1,1,10,1.10000002384,10.1,11/22/10,1,2010-11-22 03:31:09.450,2010,11
6902,1,2,2,2,20,2.20000004768,20.2,11/22/10,2,2010-11-22 03:32:09.460,2010,11
6903,0,3,3,3,30,3.29999995232,30.3,11/22/10,3,2010-11-22 03:33:09.480,2010,11
6904,1,4,4,4,40,4.40000009537,40.4,11/22/10,4,2010-11-22 03:34:09.510,2010,11
6905,0,5,5,5,50,5.5,50.5,11/22/10,5,2010-11-22 03:35:09.550,2010,11
6906,1,6,6,6,60,6.59999990463,60.6,11/22/10,6,2010-11-22 03:36:09.600,2010,11
6907,0,7,7,7,70,7.69999980927,70.7,11/22/10,7,2010-11-22 03:37:09.660,2010,11
6908,1,8,8,8,80,8.80000019073,80.8,11/22/10,8,2010-11-22 03:38:09.730,2010,11
6909,0,9,9,9,90,9.89999961853,90.9,11/22/10,9,2010-11-22 03:39:09.810,2010,11
6910,1,0,0,0,0,0.0,0.0,11/23/10,0,2010-11-23 03:40:09.900,2010,11
6911,0,1,1,1,10,1.10000002384,10.1,11/23/10,1,2010-11-23 03:41:09.900,2010,11
6912,1,2,2,2,20,2.20000004768,20.2,11/23/10,2,2010-11-23 03:42:09.910,2010,11
6913,0,3,3,3,30,3.29999995232,30.3,11/23/10,3,2010-11-23 03:43:09.930,2010,11
6914,1,4,4,4,40,4.40000009537,40.4,11/23/10,4,2010-11-23 03:44:09.960,2010,11
6915,0,5,5,5,50,5.5,50.5,11/23/10,5,2010-11-23 03:45:10.000,2010,11
6916,1,6,6,6,60,6.59999990463,60.6,11/23/10,6,2010-11-23 03:46:10.500,2010,11
6917,0,7,7,7,70,7.69999980927,70.7,11/23/10,7,2010-11-23 03:47:10.110,2010,11
6918,1,8,8,8,80,8.80000019073,80.8,11/23/10,8,2010-11-23 03:48:10.180,2010,11
6919,0,9,9,9,90,9.89999961853,90.9,11/23/10,9,2010-11-23 03:49:10.260,2010,11
6920,1,0,0,0,0,0.0,0.0,11/24/10,0,2010-11-24 03:50:10.350,2010,11
6921,0,1,1,1,10,1.10000002384,10.1,11/24/10,1,2010-11-24 03:51:10.350,2010,11
6922,1,2,2,2,20,2.20000004768,20.2,11/24/10,2,2010-11-24 03:52:10.360,2010,11
6923,0,3,3,3,30,3.29999995232,30.3,11/24/10,3,2010-11-24 03:53:10.380,2010,11
6924,1,4,4,4,40,4.40000009537,40.4,11/24/10,4,2010-11-24 03:54:10.410,2010,11
6925,0,5,5,5,50,5.5,50.5,11/24/10,5,2010-11-24 03:55:10.450,2010,11
6926,1,6,6,6,60,6.59999990463,60.6,11/24/10,6,2010-11-24 03:56:10.500,2010,11
6927,0,7,7,7,70,7.69999980927,70.7,11/24/10,7,2010-11-24 03:57:10.560,2010,11
6928,1,8,8,8,80,8.80000019073,80.8,11/24/10,8,2010-11-24 03:58:10.630,2010,11
6929,0,9,9,9,90,9.89999961853,90.9,11/24/10,9,2010-11-24 03:59:10.710,2010,11
6930,1,0,0,0,0,0.0,0.0,11/25/10,0,2010-11-25 04:00:10.800,2010,11
6931,0,1,1,1,10,1.10000002384,10.1,11/25/10,1,2010-11-25 04:01:10.800,2010,11
6932,1,2,2,2,20,2.20000004768,20.2,11/25/10,2,2010-11-25 04:02:10.810,2010,11
6933,0,3,3,3,30,3.29999995232,30.3,11/25/10,3,2010-11-25 04:03:10.830,2010,11
6934,1,4,4,4,40,4.40000009537,40.4,11/25/10,4,2010-11-25 04:04:10.860,2010,11
6935,0,5,5,5,50,5.5,50.5,11/25/10,5,2010-11-25 04:05:10.900,2010,11
6936,1,6,6,6,60,6.59999990463,60.6,11/25/10,6,2010-11-25 04:06:10.950,2010,11
6937,0,7,7,7,70,7.69999980927,70.7,11/25/10,7,2010-11-25 04:07:11.100,2010,11
6938,1,8,8,8,80,8.80000019073,80.8,11/25/10,8,2010-11-25 04:08:11.800,2010,11
6939,0,9,9,9,90,9.89999961853,90.9,11/25/10,9,2010-11-25 04:09:11.160,2010,11
6940,1,0,0,0,0,0.0,0.0,11/26/10,0,2010-11-26 04:10:11.250,2010,11
6941,0,1,1,1,10,1.10000002384,10.1,11/26/10,1,2010-11-26 04:11:11.250,2010,11
6942,1,2,2,2,20,2.20000004768,20.2,11/26/10,2,2010-11-26 04:12:11.260,2010,11
6943,0,3,3,3,30,3.29999995232,30.3,11/26/10,3,2010-11-26 04:13:11.280,2010,11
6944,1,4,4,4,40,4.40000009537,40.4,11/26/10,4,2010-11-26 04:14:11.310,2010,11
6945,0,5,5,5,50,5.5,50.5,11/26/10,5,2010-11-26 04:15:11.350,2010,11
6946,1,6,6,6,60,6.59999990463,60.6,11/26/10,6,2010-11-26 04:16:11.400,2010,11
6947,0,7,7,7,70,7.69999980927,70.7,11/26/10,7,2010-11-26 04:17:11.460,2010,11
6948,1,8,8,8,80,8.80000019073,80.8,11/26/10,8,2010-11-26 04:18:11.530,2010,11
6949,0,9,9,9,90,9.89999961853,90.9,11/26/10,9,2010-11-26 04:19:11.610,2010,11
6950,1,0,0,0,0,0.0,0.0,11/27/10,0,2010-11-27 04:20:11.700,2010,11
6951,0,1,1,1,10,1.10000002384,10.1,11/27/10,1,2010-11-27 04:21:11.700,2010,11
6952,1,2,2,2,20,2.20000004768,20.2,11/27/10,2,2010-11-27 04:22:11.710,2010,11
6953,0,3,3,3,30,3.29999995232,30.3,11/27/10,3,2010-11-27 04:23:11.730,2010,11
6954,1,4,4,4,40,4.40000009537,40.4,11/27/10,4,2010-11-27 04:24:11.760,2010,11
6955,0,5,5,5,50,5.5,50.5,11/27/10,5,2010-11-27 04:25:11.800,2010,11
6956,1,6,6,6,60,6.59999990463,60.6,11/27/10,6,2010-11-27 04:26:11.850,2010,11
6957,0,7,7,7,70,7.69999980927,70.7,11/27/10,7,2010-11-27 04:27:11.910,2010,11
6958,1,8,8,8,80,8.80000019073,80.8,11/27/10,8,2010-11-27 04:28:11.980,2010,11
6959,0,9,9,9,90,9.89999961853,90.9,11/27/10,9,2010-11-27 04:29:12.600,2010,11
